PMCA_123,Type of cells: smooth muscle cells,,
Parameter,Description, Value,Ref
I_{SERCA}^max,the maximum current through SERCA pumps (pA),200,"[2, 18]"
K_{mf},the Hill parameters for the forward pump flux (mM),0.4,
\eta_f,the Hill parameters for the forward pump flux,1.787,
K_{mr},the Hill parameters for the backward pump flux (mM),1.7,
\eta_r,the Hill parameters for the backward pump flux,1.787,
