NBC_(equation 90)
Parameter, Value
n_NBC_a, 0
n_NBC_b, 1
k_5_p, -1.9352*10 
k_5_n, 1.0*10^(8)
k_6_p, 1.0004*10^(8)*(-1) 
k_6_n, -1.9352*10^(-1)*10^(-1)
