NaKATPASE_equation110,Type of cells: secreting_epithelial_airway,,
Parameter,Description,Value,Refs
P_pump,the membrane permeability coefficient in the unit of $\mu mol\cdot cm^{-2} \cdot h^{-1}$,3.93,"[8, 38]"
a,Constant-unit of (mV)^{-1},0.006,
b,Constant-no unit,a*V_m + b =1 ,
V_m^b,the steady-state reduced membrane potential,a*V_m + b =1 ,
K_{K},the potassium half-saturation constant (mM),1.4,
K_{Na},the sodium half-saturation constant (mM),11.8,
