XcaKC-eq5,X denotes S K or I K or BK,,
Parameter,Description, Value,Ref
n''_{CaKC}^{M-N},The number of CaKC channel density per unit area of the membrane,,[5-7]
g_{CaKC},The maximum whole-cell conductance for the CaKC channels,,
"f_o^{k, CaKC}",The open probability for CaKC channels,,
A,,,
K_{Ca}^{CaKC},Potassium concentration at half of the maximum reaction rate for the CaKC open probability,,
eta_{CaKC},The Hill coefficient for the CaKC open probability,,
